GIST Output v4 spacing=0.5000 center=39.484000,35.880000,33.355000 dims=25,31,47 
voxel xcoord ycoord zcoord population g_O g_H dTStrans-dens(kcal/mol/A^3) dTStrans-norm(kcal/mol) dTSorient-dens(kcal/mol/A^3) dTSorient-norm(kcal/mol) dTSsix-dens(kcal/mol/A^3) dTSsix-norm(kcal/mol) Esw-dens(kcal/mol/A^3) Esw-norm(kcal/mol) Eww-dens(kcal/mol/A^3) Eww-norm-unref(kcal/mol) Dipole_x-dens(D/A^3) Dipole_y-dens(D/A^3) Dipole_z-dens(D/A^3) Dipole-dens(D/A^3) neighbor-dens(1/A^3) neighbor-norm order-norm
45 33.484 28.38 44.355 48 0.814371 0.371257 0 0 -0.0877557 -2.28531 0 0 -0.308992 -8.04666 -0.230044 -5.99072 0.0433432 0.0498849 -0.0447558 0.0798136 0.152 3.95833 0 
46 33.484 28.38 44.855 84 2.01198 0.622755 0 0 -0.121497 -1.808 0 0 -0.474127 -7.05546 -0.450529 -6.70431 0.0677663 0.0874875 -0.0712844 0.131635 0.2888 4.29762 0 
47 33.484 28.88 21.855 44 1.05389 0.838323 0 0 -0.00312278 -0.0887154 0 0 -0.00471022 -0.133813 -0.320163 -9.09553 -0.00194302 -0.0146735 0.00238187 0.014992 0.192 5.45455 0 
48 33.484 28.88 22.355 32 0.862275 0.91018 0 0 0.00448398 0.175156 0 0 -0.00273874 -0.106982 -0.253572 -9.90516 -0.00305813 -0.00804482 0.00166827 0.00876667 0.128 5 0 
49 33.484 28.88 22.855 52 1.34132 0.754491 0 0 0.00768171 0.184656 0 0 -0.00267813 -0.0643782 -0.406941 -9.78223 -0.00510478 -0.00584453 -0.000524222 0.00777766 0.2192 5.26923 0 
50 33.484 28.88 23.355 29 0.670659 0.994012 0 0 0.000163489 0.00704694 0 0 -0.00272692 -0.11754 -0.216486 -9.33128 0.00533474 -0.00324835 4.15003e-05 0.00624603 0.1288 5.55172 0 
51 33.484 28.88 23.855 39 0.982036 0.958084 0 0 0.00746274 0.23919 0 0 -0.000734067 -0.0235278 -0.299851 -9.61061 0.00595991 -0.00351658 -0.0133465 0.0150338 0.1648 5.28205 0 
52 33.484 28.88 24.355 49 1.22156 1.08982 0 0 -0.00281059 -0.0716986 0 0 -0.00342131 -0.0872784 -0.366654 -9.35341 0.0110234 0.00282338 -0.000433469 0.0113875 0.2048 5.22449 0 
53 33.484 28.88 24.855 44 1.05389 1.1976 0 0 0.00265698 0.0754825 0 0 -0.00143372 -0.0407306 -0.333129 -9.4639 -0.00406944 -0.00495899 -0.00200445 0.00672084 0.1792 5.09091 0 
54 33.484 28.88 25.355 34 0.934132 1.16168 0 0 -0.00623936 -0.229388 0 0 -0.000536699 -0.0197316 -0.25569 -9.40036 0.010456 0.00795639 0.000728436 0.0131591 0.1344 4.94118 0 
55 33.484 28.88 25.855 44 0.934132 1.12575 0 0 -0.00847367 -0.240729 0 0 -0.00279933 -0.0795263 -0.337831 -9.59748 -0.0189853 0.00127003 0.00328841 0.0193098 0.1768 5.02273 0 
56 33.484 28.88 26.355 53 1.1497 0.790419 0 0 0.000175678 0.00414334 0 0 -0.00854226 -0.201468 -0.417258 -9.841 0.00193939 -0.00471724 0.00764759 0.00919235 0.232 5.4717 0 
57 33.484 28.88 26.855 21 0.45509 0.874251 0 0 0.00406225 0.241801 0 0 -0.000303076 -0.0180402 -0.165991 -9.88044 -0.00961379 -0.00541752 -0.00571849 0.0124288 0.0856 5.09524 0 
58 33.484 28.88 27.355 31 0.622755 0.898204 0 0 0.00397931 0.160456 0 0 -0.00398735 -0.16078 -0.237885 -9.59212 -0.00407927 -0.00254962 0.0003717 0.00482485 0.124 5 0 
59 33.484 28.88 27.855 34 0.790419 0.91018 0 0 -0.00742425 -0.272951 0 0 -0.00551353 -0.202703 -0.258913 -9.51887 -0.00483506 -0.00397707 0.00100662 0.00634099 0.1456 5.35294 0 
60 33.484 28.88 28.355 31 0.790419 1.01796 0 0 0.00150589 0.0607216 0 0 -0.0064465 -0.25994 -0.2375 -9.57661 -0.00395545 -7.06859e-05 0.00491536 0.00630963 0.1264 5.09677 0 
61 33.484 28.88 28.855 36 0.862275 1.17365 0 0 0.00484974 0.168394 0 0 -0.00490058 -0.170159 -0.277347 -9.63011 -0.00664631 -0.0110711 -0.00594174 0.0142143 0.1584 5.5 0 
62 33.484 28.88 29.355 42 0.958084 0.97006 0 0 -0.00314913 -0.093724 0 0 -0.0155594 -0.463077 -0.299282 -8.90722 0.00252605 -0.0120401 0.0112408 0.0166643 0.18 5.35714 0 
63 33.484 28.88 29.855 42 0.886228 0.886228 0 0 -0.00247594 -0.0736887 0 0 0.00578031 0.172033 -0.335728 -9.9919 0.00340025 0.00186183 -0.0191578 0.0195461 0.1752 5.21429 0 
64 33.484 28.88 30.355 30 0.814371 0.718563 0 0 -0.00300475 -0.125198 0 0 -0.0120916 -0.503815 -0.226784 -9.44935 -0.00618233 -0.00252229 0.00881295 0.0110567 0.1352 5.63333 0 
65 33.484 28.88 30.855 22 0.622755 0.826347 0 0 -0.00277434 -0.157633 0 0 -0.0109803 -0.62388 -0.168075 -9.54971 -0.00875547 0.0101558 0.0095339 0.0164528 0.0976 5.54545 0 
66 33.484 28.88 31.355 34 0.57485 0.658683 0 0 -0.00142754 -0.052483 0 0 -0.0170107 -0.625392 -0.268162 -9.85888 -0.00617845 0.00447244 0.0109082 0.0133103 0.1496 5.5 0 
